Address,20001,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
1415 AMES PL NE,20002,"$737,500","$752,000",$0,2,2,1,9/8/2017
1239 OATES ST NE,20002,"$899,900","$910,000",$0,4,3,1,9/12/2017
220 ASCOT PL NE,20002,"$539,000","$550,000",$0,3,2,0,9/8/2017
219 T ST NE #T2,20002,"$169,999","$163,000",$371,1,1,0,9/28/2017
1300 CHILDRESS ST NE #3,20002,"$289,000","$289,000",$0,2,1,0,9/29/2017
1657 C ST NE,20002,"$500,000","$505,000",$0,5,2,2,9/18/2017
1219 TRINIDAD AVE NE,20002,"$524,901","$485,000",$0,3,1,0,9/21/2017
237 14TH PL NE,20002,"$599,000","$620,000",$0,2,1,1,9/15/2017
325 17TH ST NE,20002,"$500,000","$513,900",$0,3,2,1,9/8/2017
1325 TRINIDAD AVE NE,20002,"$699,900","$739,957",$0,3,2,1,9/8/2017
648 6TH ST NE,20002,"$1,159,000","$1,167,000","$17,000",4,3,1,9/15/2017
27 QUINCY PL NE #2,20002,"$499,000","$499,000","$5,000",1,1,0,9/26/2017
1014 10TH ST NE #1,20002,"$489,900","$489,900",$0,2,2,0,9/22/2017
2004 3RD ST NE #103,20002,"$295,000","$305,000",$500,1,1,0,9/18/2017
1156 4TH ST NE,20002,"$595,000","$580,000",$0,3,1,1,9/6/2017
2415 E ST NE,20002,"$549,900","$605,000",$0,4,2,0,9/18/2017
1122 ABBEY PL NE,20002,"$699,000","$520,000",$0,3,1,0,9/20/2017
1236 OWEN PL NE,20002,"$739,900","$730,000",$0,3,3,1,9/25/2017
923 11TH ST NE,20002,"$924,900","$930,000",$0,4,3,1,9/20/2017
1734 GALES ST NE,20002,"$564,900","$600,000",$0,2,2,1,9/28/2017
317 16TH ST NE,20002,"$599,901","$530,000",$0,4,2,1,9/29/2017
1125 MARYLAND AVE NE #16,20002,"$360,000","$374,000","$2,000",1,1,0,9/22/2017
242 14TH PL NE,20002,"$720,000","$720,000","$10,000",2,2,1,9/25/2017
634 LEXINGTON PL NE,20002,"$699,900","$815,000",$0,4,1,0,9/19/2017
508 F ST NE,20002,"$899,000","$900,000","$3,000",3,2,1,9/29/2017
2016 SUMMIT PL NE,20002,"$505,000","$505,000",$0,2,2,0,9/6/2017
401 13TH ST NE #301,20002,"$419,000","$430,000",$0,1,1,0,9/28/2017
136 QUINCY PL NE #2,20002,"$729,000","$730,000",$0,2,2,1,9/27/2017
231 8TH ST NE,20002,"$997,000","$1,062,776",$0,3,2,1,9/26/2017
433 15TH ST NE,20002,"$707,000","$707,000","$15,000",2,2,1,9/21/2017
1211 D ST NE,20002,"$950,000","$950,000","$8,000",4,2,0,9/21/2017
,,,,,,,,
612 3RD ST SE,20003,"$2,798,999","$2,650,000",$0,7,7,2,9/20/2017
1350 K ST SE,20003,"$989,500","$965,000",$0,3,3,1,9/29/2017
240 16TH ST SE,20003,"$669,000","$680,000","$20,000",2,2,1,9/8/2017
649 C ST SE #105,20003,"$349,950","$341,500",$0,0,1,0,9/26/2017
1361 K ST SE #202,20003,"$284,500","$277,500",$0,1,1,0,9/5/2017
1709 BAY ST SE #1,20003,"$609,500","$615,000","$10,000",2,2,0,9/18/2017
412 7TH ST SE,20003,"$1,175,000","$1,150,000",$0,3,2,1,9/29/2017
1500 PENNSYLVANIA AVE SE #310,20003,"$469,900","$460,000","$10,000",1,1,0,9/11/2017
1728 INDEPENDENCE AVE SE,20003,"$875,000","$877,000","$11,000",4,3,1,9/29/2017
1611 MASSACHUSETTS AVE SE,20003,"$549,900","$549,900","$17,300",2,1,0,9/15/2017
327 10TH ST SE #4,20003,"$386,000","$384,000",$0,2,1,0,9/29/2017
1000 NEW JERSEY AVE SE #1105,20003,"$324,000","$333,100",$0,1,1,0,9/1/2017
1000 NEW JERSEY AVE SE #604,20003,"$355,000","$355,000",$0,1,1,0,9/6/2017
1508 E ST SE,20003,"$775,000","$820,000",$0,2,2,1,9/22/2017
209 17TH ST SE,20003,"$550,000","$550,000",$0,2,1,0,9/7/2017
1000 NEW JERSEY AVE SE #1218,20003,"$345,000","$341,000","$1,150",1,1,0,9/1/2017
417 GUETLER WAY SE,20003,"$1,289,000","$1,289,000",$0,3,3,2,9/29/2017
101 DUDDINGTON PL SE,20003,"$1,349,000","$1,275,000",$0,3,2,1,9/22/2017
1225 C ST SE,20003,"$600,000","$600,000",$0,3,1,0,9/1/2017
1420 C ST SE,20003,"$788,500","$861,000",$0,2,2,1,9/8/2017
417 INDEPENDENCE AVE SE,20003,"$749,900","$749,900","$16,000",2,1,0,9/15/2017
1255 C ST SE,20003,"$919,000","$910,000","$7,000",3,2,1,9/19/2017
1360 EAST CAPITOL ST NE,20003,"$1,150,000","$1,155,000",$0,5,3,1,9/13/2017
1805 A ST SE #2,20003,"$799,900","$799,900","$4,000",3,2,1,9/28/2017
544 14TH ST SE,20003,"$725,000","$745,000","$3,000",4,2,0,9/22/2017
420 16TH ST SE #103,20003,"$314,000","$322,100",$0,1,1,0,9/29/2017
914 E CAPITOL ST NE,20003,"$1,595,000","$1,605,000",$0,4,3,1,9/29/2017
2 LIBRARY CT SE,20003,"$539,000","$566,000",$0,1,1,0,9/29/2017
510 9TH ST SE,20003,"$1,040,000","$1,040,000",$0,2,2,1,9/22/2017
,,,,,,,,
801 PENNSYLVANIA AVE NW #1206,20004,"$395,000","$380,000",$0,1,1,0,9/20/2017
631 D ST NW #638,20004,"$334,999","$335,000",$0,0,1,0,9/27/2017
631 D ST NW #644,20004,"$652,000","$652,000",$0,2,2,1,9/18/2017
616 E ST NW #321,20004,"$479,500","$474,000",$600,1,1,0,9/20/2017
912 F ST NW #408,20004,"$711,500","$711,500","$28,460",2,2,0,9/18/2017
,,,,,,,,
1312 MASSACHUSETTS AVE NW #601,20005,"$619,900","$619,900",$0,2,2,0,9/5/2017
1437 RHODE ISLAND AVE NW #104,20005,"$725,000","$726,500","$28,163",2,2,0,9/1/2017
1300 N ST NW #517,20005,"$459,900","$455,000","$1,500",1,1,0,9/1/2017
1450 CHURCH ST NW #502,20005,"$749,000","$749,000","$3,150",2,2,0,9/1/2017
1209 13TH ST NW #407,20005,"$574,900","$590,000","$15,000",1,1,1,9/6/2017
1310 VERMONT AVE NW,20005,"$2,500,000","$2,600,000",$0,4,3,1,9/5/2017
1300 N ST NW #16,20005,"$475,000","$475,000","$7,500",1,1,0,9/15/2017
1441 RHODE ISLAND AVE NW #915,20005,"$355,000","$366,500",$0,0,1,0,9/15/2017
1300 13TH ST NW #409,20005,"$519,900","$535,000",$0,1,1,0,9/1/2017
1440 N ST NW #610,20005,"$249,000","$240,000",$0,1,1,0,9/18/2017
1101 L ST NW #510,20005,"$269,000","$271,000",$0,0,1,0,9/22/2017
1515 15TH ST NW #419,20005,"$1,150,000","$1,160,000",$0,2,2,1,9/5/2017
1150 K ST NW #703,20005,"$439,999","$442,000",$0,1,1,0,9/18/2017
1437 RHODE ISLAND AVE NW #106,20005,"$445,000","$445,000",$0,1,1,0,9/28/2017
1440 N ST NW #410,20005,"$215,000","$215,000",$0,0,1,0,9/18/2017
,,,,,,,,
2030 F ST NW #1004,20006,"$268,000","$254,000",$0,0,1,0,9/29/2017
,,,,,,,,
3629 WINFIELD LN NW,20007,"$1,600,000","$1,600,000",$0,6,6,1,9/11/2017
1015 33RD ST NW #710,20007,"$885,000","$840,000",$0,2,2,0,9/7/2017
3303 WATER ST NW #5C,20007,"$1,695,000","$1,620,000",$0,2,2,0,9/12/2017
3422 DENT PL NW,20007,"$1,300,000","$1,240,000","$3,500",4,3,1,9/20/2017
1015 33RD ST NW #707,20007,"$995,000","$950,000",$0,2,2,1,9/7/2017
1080 WISCONSIN AVE NW #2006,20007,"$475,000","$468,000","$12,870",1,1,1,9/29/2017
2709 P ST NW,20007,"$2,195,000","$2,200,000","$66,000",5,3,1,9/6/2017
2514 MILL RD NW,20007,"$999,900","$985,000",$0,2,2,0,9/6/2017
1909 FOXVIEW CIR NW,20007,"$3,995,000","$3,850,000",$0,6,6,1,9/8/2017
2500 Q ST NW #420,20007,"$409,900","$409,900","$13,000",1,1,0,9/5/2017
3011 DUMBARTON ST NW,20007,"$1,749,000","$1,695,000",$0,3,2,1,9/20/2017
3924 W ST NW #7,20007,"$775,000","$775,000",$0,2,2,1,9/1/2017
3711 WINFIELD LN NW,20007,"$1,645,000","$1,600,000",$0,4,4,1,9/7/2017
3925 DAVIS PL NW #104,20007,"$289,000","$289,000","$3,500",1,1,0,9/18/2017
1517 26TH ST NW,20007,"$1,595,000","$1,653,000",$0,3,3,0,9/21/2017
3010 R ST NW #2,20007,"$620,000","$620,000","$10,000",2,1,0,9/7/2017
3924 W ST NW #2,20007,"$490,000","$490,000",$0,2,1,0,9/7/2017
3510 WINFIELD LN NW,20007,"$1,450,000","$1,410,000","$5,000",4,3,1,9/28/2017
1241 28TH ST NW,20007,"$1,295,000","$1,290,000",$0,2,2,0,9/22/2017
3968 GEORGETOWN CT NW,20007,"$1,295,000","$1,335,450",$0,3,3,1,9/15/2017
1617 44TH ST NW,20007,"$899,000","$906,503",$0,4,2,0,9/27/2017
1015 33RD ST NW #509,20007,"$1,175,000","$1,065,000","$31,000",2,2,0,9/28/2017
4481 Q ST NW,20007,"$739,900","$789,770",$0,3,2,0,9/18/2017
3727 WINFIELD LN NW,20007,"$1,219,000","$1,219,000",$0,3,3,1,9/28/2017
2447 P ST NW,20007,"$1,695,000","$1,662,500","$12,650",4,3,1,9/29/2017
2500 Q ST NW #549,20007,"$409,000","$399,999",$0,1,1,0,9/19/2017
3751 W ST NW,20007,"$969,000","$954,000","$5,000",4,2,1,9/15/2017
3703 S ST NW,20007,"$850,000","$890,000",$0,5,3,0,9/7/2017
2501 WISCONSIN AVE NW #7,20007,"$795,000","$780,000",$0,2,2,1,9/12/2017
4000 TUNLAW RD NW #804,20007,"$220,000","$220,000",$0,0,1,0,9/13/2017
2725 39TH ST NW #307,20007,"$324,900","$324,900","$3,000",1,1,0,9/22/2017
2320 WISCONSIN AVE NW #402,20007,"$399,000","$420,000",$0,1,1,0,9/22/2017
2500 Q ST NW #235,20007,"$450,000","$450,000",$0,1,1,0,9/15/2017
2339 40TH PL NW #002,20007,"$249,000","$249,000","$2,000",1,1,0,9/29/2017
3831 S ST NW,20007,"$820,000","$820,000",$0,3,1,2,9/18/2017
2801 NEW MEXICO AVE NW #601,20007,"$692,500","$692,500",$0,2,2,1,9/26/2017
,,,,,,,,
3407 29TH ST NW #2,20008,"$309,000","$300,000",$0,1,1,0,9/8/2017
4214 LENORE LN NW,20008,"$1,999,990","$1,650,000",$0,5,4,2,9/28/2017
5112 CONNECTICUT AVE NW #110,20008,"$329,000","$329,000","$8,000",2,1,0,9/22/2017
3011 ALBEMARLE ST NW,20008,"$1,249,000","$1,250,000",$0,5,3,1,9/13/2017
2725 CONNECTICUT AVE NW #107,20008,"$399,900","$390,000",$0,1,1,0,9/25/2017
3900 CONNECTICUT AVE NW #404G,20008,"$349,000","$349,000",$0,1,1,0,9/8/2017
2122 CALIFORNIA ST NW #354,20008,"$379,000","$370,000","$5,000",1,1,0,9/20/2017
2311 CONNECTICUT AVE NW #403,20008,"$415,000","$410,000",$0,1,1,0,9/6/2017
4707 CONNECTICUT AVE NW #508,20008,"$439,000","$424,000","$5,000",1,1,0,9/11/2017
3446 CONNECTICUT AVE NW #401,20008,"$293,900","$293,900","$4,400",1,1,0,9/18/2017
2229 CALIFORNIA ST NW,20008,"$1,899,000","$1,900,000",$0,4,3,1,9/20/2017
3701 CONNECTICUT AVE NW #322,20008,"$324,900","$324,900",$0,1,1,0,9/28/2017
2755 ORDWAY ST NW #115,20008,"$225,000","$217,000",$0,1,1,0,9/5/2017
3883 CONNECTICUT AVE NW #309,20008,"$659,000","$667,000","$4,000",2,2,0,9/14/2017
2803 28TH ST NW,20008,"$1,250,000","$1,220,000",$0,3,2,1,9/13/2017
3026 PORTER ST NW #104,20008,"$354,900","$345,000",$0,2,1,0,9/29/2017
3201 GARFIELD ST NW,20008,"$1,650,000","$1,610,000","$4,175",4,4,1,9/29/2017
2729 ORDWAY ST NW #5,20008,"$499,000","$521,750",$0,2,1,0,9/15/2017
3001 VEAZEY TER NW #1421,20008,"$319,000","$311,000","$1,300",1,1,0,9/18/2017
2902 PORTER ST NW #51,20008,"$450,000","$450,000",$0,1,1,0,9/25/2017
2829 CONNECTICUT AVE NW #504,20008,"$385,000","$385,000","$7,500",1,1,0,9/28/2017
3200 ELLICOTT ST NW,20008,"$1,000,000","$1,000,000",$0,3,3,1,9/20/2017
3446 CONNECTICUT AVE NW #200,20008,"$295,000","$295,000",$0,1,1,0,9/12/2017
2829 CONNECTICUT AVE NW #508,20008,"$224,500","$228,000",$0,0,1,0,9/26/2017
3601 CONNECTICUT AVE AVE NW #418,20008,"$474,500","$474,500","$3,150",1,1,0,9/8/2017
1809 PHELPS PL NW,20008,"$2,550,000","$2,500,000",$0,4,4,1,9/29/2017
,,,,,,,,
1701 16TH ST NW #204,20009,"$179,888","$179,888",$0,0,1,0,9/11/2017
2422 17TH ST NW #202,20009,"$449,900","$449,900",$0,2,2,0,9/21/2017
2422 17TH ST NW ##207,20009,"$429,900","$429,900",$0,2,2,0,9/18/2017
1601 18TH ST NW #518,20009,"$299,900","$298,970","$8,969",0,1,0,9/7/2017
1436 W ST NW #105,20009,"$141,137","$138,137",$0,1,1,0,9/5/2017
1310 Q ST NW #2,20009,"$2,845,000","$3,000,000",$0,3,3,1,9/15/2017
1310 Q ST NW #3,20009,"$2,395,000","$2,395,000",$0,3,3,1,9/11/2017
1310 Q ST NW #4,20009,"$1,295,000","$1,295,000",$0,2,2,1,9/27/2017
1310 Q ST NW #5,20009,"$1,595,000","$1,595,000",$950,2,2,0,9/13/2017
1731 20TH ST NW #11,20009,"$275,731","$262,000",$0,1,1,0,9/7/2017
2410 20TH ST NW #8,20009,"$339,990","$325,000",$0,1,1,0,9/11/2017
2380 CHAMPLAIN ST NW #302,20009,"$715,000","$710,000",$550,2,2,0,9/15/2017
3025 ONTARIO RD NW #105,20009,"$314,000","$314,000",$0,1,1,0,9/5/2017
1601 18TH ST NW #201,20009,"$360,000","$339,500",$0,1,1,0,9/22/2017
2464 ONTARIO RD NW #4,20009,"$899,900","$919,900",$0,2,2,0,9/8/2017
1756 CORCORAN ST NW #1/2B,20009,"$212,000","$208,000","$6,240",0,1,0,9/1/2017
1621 T ST NW #707,20009,"$413,500","$426,500",$0,1,1,0,9/29/2017
1704 16TH ST NW #1,20009,"$799,000","$800,000",$0,2,2,0,9/22/2017
1843 MINTWOOD PL NW #204,20009,"$499,000","$522,000","$3,000",2,2,0,9/22/2017
1931 17TH ST NW #101,20009,"$485,000","$491,000","$10,000",2,1,0,9/21/2017
1314 W ST NW #C,20009,"$375,000","$365,000",$0,1,1,0,9/22/2017
1688 EUCLID ST NW #A,20009,"$370,000","$370,000",$0,1,1,0,9/5/2017
1451 BELMONT ST NW #305,20009,"$609,000","$597,500","$5,000",1,2,0,9/11/2017
1869 MINTWOOD PL NW #24,20009,"$399,000","$391,000",$0,1,1,0,9/14/2017
2032 15TH ST NW #7,20009,"$359,900","$360,000",$500,1,1,0,9/27/2017
1335 CORCORAN ST NW,20009,"$1,995,000","$2,010,000",$0,3,2,1,9/25/2017
1865 MINTWOOD PL NW #6,20009,"$849,000","$849,000",$0,2,2,0,9/8/2017
1901 WYOMING AVE NW #57,20009,"$260,000","$260,000","$2,000",0,1,0,9/6/2017
1735 JOHNSON AVE NW #H,20009,"$1,249,000","$1,225,000",$0,2,2,1,9/25/2017
2707 ADAMS MILL RD NW #405,20009,"$515,000","$510,000","$7,500",2,1,0,9/7/2017
1820 CLYDESDALE PL NW #205,20009,"$279,900","$268,600",$0,1,1,0,9/11/2017
1801 16TH ST NW #209,20009,"$599,000","$594,500",$0,1,1,0,9/8/2017
1336 HARVARD ST NW #1,20009,"$700,000","$700,000","$15,000",3,2,2,9/30/2017
2034 16TH ST NW,20009,"$2,250,000","$2,300,000",$0,5,2,1,9/29/2017
1728 U ST NW #2,20009,"$675,000","$675,000",$0,2,1,0,9/13/2017
1900 S ST NW #3,20009,"$398,000","$385,000",$0,1,1,0,9/22/2017
2535 13TH ST NW #102,20009,"$449,900","$449,900",$0,2,1,0,9/22/2017
1128 COLUMBIA RD NW #2,20009,"$999,900","$995,000",$0,3,3,1,9/22/2017
1825 19TH ST NW #1,20009,"$699,900","$669,900",$0,2,2,0,9/25/2017
1701 16TH ST NW #236,20009,"$449,900","$439,000",$0,2,1,0,9/15/2017
1615 Q ST NW #1210,20009,"$325,000","$320,000",$0,0,1,0,9/1/2017
1701 16TH ST NW #209,20009,"$387,000","$387,000",$0,1,1,0,9/28/2017
1822 VERNON ST NW #106,20009,"$560,000","$550,000",$0,2,1,0,9/22/2017
1407 W ST NW #201,20009,"$715,000","$733,000",$0,2,2,0,9/5/2017
1852 COLUMBIA RD NW #503,20009,"$525,000","$550,000",$0,2,1,0,9/6/2017
2302 17TH ST NW,20009,"$1,325,000","$1,355,000","$9,000",3,3,1,9/29/2017
2020 12TH ST NW #410,20009,"$679,900","$679,000",$650,2,2,0,9/15/2017
1460 T ST NW,20009,"$995,000","$1,060,000",$0,2,2,0,9/15/2017
1401 Q ST NW #101,20009,"$695,000","$695,000",$0,1,1,1,9/15/2017
1833 S ST NW #23,20009,"$369,000","$369,000","$2,000",1,1,0,9/26/2017
1718 CORCORAN ST NW #52,20009,"$559,000","$565,000","$5,000",2,1,0,9/29/2017
1501 SWANN ST NW #B,20009,"$789,000","$815,000",$0,2,2,0,9/25/2017
2440 16TH ST NW #412,20009,"$359,000","$365,000",$0,1,1,0,9/7/2017
1123 EUCLID ST NW,20009,"$1,300,000","$1,333,000",$0,6,3,0,9/15/2017
1831 BELMONT RD NW #103,20009,"$349,950","$349,950","$7,750",1,1,0,9/12/2017
2039 NEW HAMPSHIRE AVE NW #209,20009,"$230,000","$230,000",$0,0,1,0,9/7/2017
1725 NEW HAMPSHIRE AVE NW #502,20009,"$589,900","$582,500","$1,000",2,2,0,9/26/2017
1688 EUCLID ST NW #B,20009,"$639,000","$681,000",$0,2,1,1,9/22/2017
2611 ADAMS MILL RD NW #307,20009,"$319,000","$315,000",$0,1,1,0,9/28/2017
1625 15TH ST NW #2,20009,"$499,000","$504,000",$0,1,1,0,9/29/2017
1830 17TH ST NW #607,20009,"$559,000","$564,000",$0,1,1,0,9/29/2017
1210 R ST NW #P-84,20009,"$50,000","$50,000",$0,0,0,0,9/11/2017
2003 13TH ST NW,20009,"$1,850,000","$1,700,000",$0,6,6,0,9/15/2017
1402 S ST NW,20009,"$2,030,000","$1,890,000","$65,000",2,2,1,9/22/2017
,,,,,,,,
3240 HIATT PL NW #5,20010,"$699,000","$660,235",$0,2,2,0,9/29/2017
3566 13TH ST NW #2,20010,"$699,900","$699,900",$0,2,2,0,9/5/2017
1390 KENYON ST NW #323,20010,"$515,000","$500,000",$0,2,2,0,9/15/2017
1519 PARK RD NW #B5,20010,"$374,990","$365,976","$7,176",2,1,1,9/29/2017
743 IRVING ST NW,20010,"$675,000","$640,000",$0,3,1,0,9/5/2017
612 KEEFER PL NW,20010,"$670,000","$669,000","$20,070",4,2,1,9/25/2017
1319 SPRING RD NW,20010,"$625,000","$635,000",$0,3,1,1,9/22/2017
1004 MONROE ST NW,20010,"$869,750","$853,000","$2,000",3,1,2,9/5/2017
1752 PARK RD NW #B,20010,"$524,555","$510,000",$0,2,1,0,9/6/2017
1201 KENYON ST NW #4,20010,"$1,149,999","$1,050,000",$0,3,3,0,9/22/2017
3114 PARK PL NW,20010,"$699,000","$699,000",$0,3,2,1,9/22/2017
1339 IRVING ST NW #C,20010,"$779,000","$770,000",$750,2,2,0,9/19/2017
623 KENYON ST NW #2,20010,"$850,000","$835,000",$0,3,3,0,9/8/2017
3321 HOLMEAD PL NW #3,20010,"$539,000","$525,000",$600,2,2,0,9/29/2017
1110 PARK RD NW,20010,"$1,139,000","$1,115,000",$0,4,3,1,9/19/2017
3532 11TH ST NW,20010,"$799,000","$799,000","$6,750",3,2,1,9/8/2017
3426 16TH ST NW #608,20010,"$539,000","$545,200",$0,2,1,0,9/6/2017
1201 KENYON ST NW #1,20010,"$534,999","$523,900",$0,2,2,0,9/8/2017
430 IRVING ST NW #203,20010,"$165,000","$175,000","$1,500",0,1,0,9/22/2017
1221 KENYON ST NW #3,20010,"$850,000","$800,000",$0,2,2,0,9/18/2017
3101 SHERMAN AVE NW ##205,20010,"$455,000","$457,500",$0,2,2,0,9/27/2017
430 IRVING ST NW #206,20010,"$295,000","$310,000",$0,1,1,0,9/22/2017
3617 13TH ST NW,20010,"$849,000","$849,000",$0,3,2,1,9/12/2017
1822 KENYON ST NW,20010,"$975,000","$1,051,000",$0,4,3,1,9/13/2017
1457 PARK RD NW #102,20010,"$297,000","$297,000","$4,455",1,1,0,9/28/2017
3318 SHERMAN AVE NW #108,20010,"$349,900","$367,500",$0,1,1,1,9/22/2017
3536 NEW HAMPSHIRE AVE NW,20010,"$750,000","$750,000",$0,4,2,0,9/30/2017
1438 MERIDIAN PL NW #302,20010,"$375,000","$390,000",$0,2,1,0,9/12/2017
3324 18TH ST NW #11,20010,"$349,000","$380,000",$0,1,1,0,9/21/2017
,,,,,,,,
509 SHERIDAN ST NW,20011,"$389,000","$375,000",$0,3,1,0,9/30/2017
1243 ROCK CREEK FORD RD NW,20011,"$343,200","$377,000",$0,4,2,0,9/29/2017
