X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-77.019225134074588,38.907441958593061,34,MILES MEMORIAL CHRISTIAN,MMCMECHURCH.ORG,CHRISTIAN,501 N ST NW,398332.71,137730.73,CHURCHES,1,,
-77.017450569806286,38.917503381965254,35,SONS-DAUGHTERS IN CHRIST A M E,,CHRISTIAN,345 ELM ST NW,398486.84,138847.6,CHURCHES,1,,
-77.026679810694674,38.912368598965152,36,TENTH STREET BAPTIST CHURCH,10THSTREETBAPTISTCHURCH.INFO,CHRISTIAN,1000 R ST NW,397686.29,138277.79,CHURCHES,1,,
-77.020514391099852,38.905976711411796,37,UNITED HOUSE OF PRAYER FOR ALL PEOPLE,TUHOPFAP.ORG,CHRISTIAN,601 M ST NW,398220.85,137568.1,CHURCHES,1,,
-77.015261938404095,38.918919167337378,38,TRUE GRACE CHURCH OF JESUS,,CHRISTIAN,205 V ST NW,398676.67,139004.73,CHURCHES,1,,
-77.013341059009008,38.903494328186092,39,SOUTHERN BAPTIST CHURCH,SOUTHERNBAPTISTPWC.COM,CHRISTIAN,134 L ST NW,398843,137292.42,CHURCHES,1,,
-77.018657024912713,38.906347536264086,40,METROPOLITAN COMMUNITY CHURCH,MCCNH.ORG,CHRISTIAN,474 RIDGE ST NW,398381.96,137609.23,CHURCHES,1,,
-77.024986071192657,38.907563742385442,41,SALEM BAPTIST CHURCH,SALEMBAPTISTCHURCHDC.ORG,CHRISTIAN,917 N ST NW,397833.04,137744.37,CHURCHES,1,,
-77.019695573747583,38.900072776066047,42,TEMPLE OF CUN YUM,,CHRISTIAN,805 6TH ST NW,398291.73,136912.7,CHURCHES,1,,
-77.015540962483271,38.900782270525248,43,SECOND BAPTIST CHURCH,SECONDBAPTISTCHURCHDC.ORG,CHRISTIAN,816 3RD ST NW,398652.13,136991.39,CHURCHES,1,,
-77.017020069945033,38.91054414438085,44,SECOND CHURCH OF GOD,,CHRISTIAN,1530 NEW JERSEY AVE NW,398524.03,138075.06,CHURCHES,1,,
-77.026243550648914,38.907470860855639,45,NEW BETHANY BAPTIST CHURCH,NEWBETHANYBAPTISTDC.ORG,CHRISTIAN,1300 10TH ST NW,397723.97,137734.09,CHURCHES,1,,
-77.023563455303574,38.913842132500086,46,NEW BETHEL BAPTIST CHURCH,NBBC-DC.ORG,CHRISTIAN,1739 9TH ST NW,397956.61,138441.29,CHURCHES,1,,
-77.013887096967338,38.906046961442534,47,NEW BIRTH BAPTIST CHURCH WA,,CHRISTIAN,1200 KIRBY ST NW,398795.68,137575.79,CHURCHES,1,,
-76.993159980819541,38.891300176941201,48,CAPITOL HILL ADVENTIST CHURCH,CAPITOLHILLSDACHURCH.ORG,CHRISTIAN,912 MASSACHUSETTS AVE NE,400593.6,135938.71,CHURCHES,1,,
-77.011664090641901,38.916213659266937,49,MT BETHEL BAPTIST CHURCH,<Null>,CHRISTIAN,75 RHODE ISLAND AVE NW,398988.64,138704.35,CHURCHES,1,,
-77.014821097833064,38.901717431683075,50,MT CARMEL BAPTIST CHURCH,THEMCBC.ORG,CHRISTIAN,901 3RD ST NW,398714.59,137095.19,CHURCHES,1,,
-77.015649961421943,38.896310234444947,51,METRO WASH DC SYNOD,METRODCELCA.ORG,CHRISTIAN,305 E ST NW,398642.59,136494.96,CHURCHES,1,,
-77.016554410590274,38.909197463807928,52,NEW COVENANT EVANGELISTIC CTR,,CHRISTIAN,1418 NEW JERSEY AVE NW,398564.39,137925.56,CHURCHES,1,,
-76.981533435624399,38.904405186373737,53,COMMUNITY UNITED METHODIST CHURCH,SITES.GOOGLE.COM/SITE/COMMUNITYUMC2/,CHRISTIAN,1600 LEVIS ST NE,401601.96,137393.61,CHURCHES,1,,
-76.986144519257664,38.911028311062438,54,BETHESDA BAPTIST CHURCH,BETHESDAWEB.ORG,CHRISTIAN,1808 CAPITOL AVE NE,401201.89,138128.76,CHURCHES,1,,
-76.983003069985401,38.901314912765621,55,CHRISTIAN LOVE BAPTIST CHURCH,,CHRISTIAN,818 BLADENSBURG RD NE,401474.55,137050.54,CHURCHES,1,,
-76.994731481969865,38.901499890782453,56,CRUSADERS BAPTIST CHURCH,CRUSADERSBAPTISTCHURCH.ORG,CHRISTIAN,800 I ST NE,400457.2,137070.95,CHURCHES,1,,
-76.995930108129414,38.891137434847501,57,CHURCH OF GOD,WASHINGTONDCWMSCOG.COM,CHRISTIAN,700 A ST NE,400353.28,135920.63,CHURCHES,1,,
-76.98914354645359,38.893835008895003,58,CHURCH-THE LORD JESUS CHRIST,TCLJC.COM,CHRISTIAN,1230 C ST NE,400942.01,136220.13,CHURCHES,1,,
-77.00158184875923,38.914311129969732,59,FIRST JERICHO BAPTIST CHURCH,FIRSTJERICHOBAPTISTCHURCH.ORG,CHRISTIAN,304 S ST NE,399863.01,138493.09,CHURCHES,1,,
-76.995223400294975,38.892889536667418,60,CHURCH OF ST MONICA & ST JAMES,STMONICA-STJAMES.ORG,CHRISTIAN,222 8TH ST NE,400414.58,136115.13,CHURCHES,1,,
-76.994333920165019,38.902271618150934,61,CHURCH UNITED SPANISH,IPUHDC.ORG,CHRISTIAN,811 K ST NE,400491.68,137156.62,CHURCHES,1,,
-76.991790353078798,38.900444842366078,62,DOUGLAS MEMORIAL UNITED MTHDST,,CHRISTIAN,800 11TH ST NE,400712.33,136953.85,CHURCHES,1,,
-76.986358147449636,38.891851703966033,63,BROWN MEMORIAL AME CHURCH,BROWNMEMORIALAMEC.ORG,CHRISTIAN,130 14TH ST NE,401183.68,136000,CHURCHES,1,,
-77.014682092206755,38.906332519019337,64,MT LEBANON BAPTIST CHURCH,MTLEBANONBAPTISTCHURCH.COM,CHRISTIAN,1219 NEW JERSEY AVE NW,398726.73,137607.5,CHURCHES,1,,
-77.014769011852877,38.915188790116076,65,MT PLEASANT BAPTIST CHURCH,MPBCDC.COM,CHRISTIAN,215 RHODE ISLAND AVE NW,398719.35,138590.62,CHURCHES,1,,
-77.014827422541529,38.911622471575242,66,MT SINAI BAPTIST CHURCH,MSBCDC.ORG,CHRISTIAN,1615 3RD ST NW,398714.22,138194.73,CHURCHES,1,,
-77.024996305692113,38.902882099576644,67,MT VERNON PLACE UNITED MTHDST,MVPUMC.ORG,CHRISTIAN,900 MASSACHUSETTS AVE NW,397832.01,137224.67,CHURCHES,1,,
-77.008756957272965,38.917282661964684,68,ALL NATIONS BAPTIST CHURCH,ALLNATIONSBAPTISTCHURCH.COM,CHRISTIAN,2001 N CAPITOL ST NE,399240.77,138822.99,CHURCHES,1,,
