"NAME","WEB_URL","ADDRESS","manual_lookup"
"WILLIAMS CORNER WORSHIP CTR","WILLIAMSCORNER.COM","3435 CONNECTICUT AVE NW",
"NUEVA VIDA INC",,"2000 K ST NW # 200",
"REORGANIZED CHURCH-JESUS CHRST","COFCHRISTDC.ORG","3526 MASSACHUSETTS AVE NW",
"MT ZION COMMUNITY HOUSE",,"2906 O ST NW",
"ANACOSTIA INTERNATIONAL",,"1716 V ST SE",
"IMMANUEL BIBLE ASSEMBLY",,"3303 10TH ST NE",
"DIVINE WORD HOUSE",,"832 VARNUM ST NE",
"TRUE BELIEVERS",,"5670 CENTRAL AVE SE",
"TRUE WAY CHURCH",,"317 62ND ST NE",
"LITTLE FOUNTAIN CHURCH","LITTLEFOUNTAINBIBLEWAY.ORG","2224 16TH ST SE",
"LITTLE ROCK CHR OF DELIVERANCE",,"2214 NAYLOR RD SE",
"GREATER MT JOY CHR OF CHRIST",,"1619 FRANKFORD ST SE",
"CAPITOL TEMPLE CHR-GOD",,"3100 18TH ST NE","CHURCH OF GOD – CONGREGATIONALIST"
"BRIGHTER DAY MINISTRIES","BRIGHTERDAYDC.ORG","2525 12TH PL SE",
"LIGHT OF THE WORLD CHURCH",,"1222 RHODE ISLAND AVE NE",
"MEKANE HIWOT",,"2715 22ND ST NE",
"WILLING HEART COMMUNITY CHURCH","WILLINGHEART.ORG","3110 W ST SE",
"AGAPE 1 CHURCH OF CHRIST","AGAPE1CHURCH.ORG","2002 14TH ST SE",
"BETHEL CHRISTIAN CHURCH","BETHELDC.ORG","2217 MINNESOTA AVE SE",
"BETHEL CHRISTIAN FELLOWSHIP",,"2220 MARTIN LUTHER KING JR AVE",
"SUPREME COUNCIL-THE HSE-JACOB",,"5740 E CAPITOL ST NE",
"ST JOSAPHAT'S UKRAINIAN SMNRY","SJUCS.ORG","201 TAYLOR ST NE",
"GATE OF HEAVEN HOLY CHURCH",,"2932 12TH ST NE",
"ST TERESA OF AVILA CHURCH","STACHURCH.ORG","1244 V ST SE",
"REDEEMING LOVE CHRISTIAN CTR",,"4611 NANNIE HELEN BURROUGHS AV",
"REFUGE TEMPLE",,"420 56TH ST NE",
"PEACE FELLOWSHIP CHURCH","PEACEFELLOWSHIPCHURCH.ORG","1601 KENILWORTH AVE NE",
"REVELATION KNOWLEDGE CHRISTIAN",,"801 44TH ST NE",
"OUR REDEEMER CHURCH","OURREDEEMERCHURCH.ORG","1725 MICHIGAN AVE NE",
"WOODRIDGE CHURCH OF OUR LORD",,"2226 EVARTS ST NE",
"EAST CAPITOL CHURCH OF CHRIST","EASTCAPITOLSTCOC,ORG","5026 E CAPITOL ST NE",
"LIVING WORD CHURCH",,"4101 MARTIN LUTHER KING JR AVE",
"FRENCH SPEAKING PARISH OF ST L0UIS",,"4125 GARRISON ST NW",
"MARIAN FATHERS",,"3885 HAREWOOD RD NE",
"RHEMA CHRISTIAN CTR CHURCH","RHEMACHRISTIANCENTER.ORG","1825 MICHIGAN AVE NE",
"NEW COVENANT CHURCH",,"2119 RHODE ISLAND AVE NE",
"NEW BEGINNING CHRISTIAN",,"4421 SHERIFF RD NE",
"NEW BEGINNING WAY-THE CROSS",,"4928 BLAINE ST NE",
"RCCG NEW WINE ASSEMBLY","RCCGNEWWINEASSEMBLY.ORG","1515 KENILWORTH AVE NE # B",
"CHURCH-THE REDEEMER","REDEEMERPRESBYDC.ORG","1423 GIRARD ST NE",
"GOOD SUCCESS CHRISTIAN CHURCH",,"4401 SHERIFF RD NE",
"YOUNGS MEMORIAL CHURCH","CHURCH-OF-CHRIST.ORG","2490 ALABAMA AVE SE",
"NEW DAY ASSEMBLY OF CHRIST","NEWDAYASSEMBLYOFCHRIST.COM","201 RALEIGH ST SE",
"FIRST CHURCH OF WASHINGTON DC","FIRSTCHURCHWASH.ORG","1219 HAMLIN ST NE",
"MOUNTAIN OF FIRE MIRACLES","MFMWASHINGTONDC.ORG","3010 RHODE ISLAND AVE NE # C",
"SERVANTS OF THE LORD",,"1326 QUINCY ST NE",
"FAITH BIBLE CHURCH",,"4625 G ST SE",
"WHOLE TRUTH CHR-THE LORD JESUS",,"2800 DOUGLAS ST NE",
"MACEDONIA COMMUNITY CHURCH",,"1026 46TH ST NE",
"MACEDONIA HOLY CHURCH",,"707 DIVISION AVE NE",
"NEW JERUSALEM TEMPLE","TEMPLENEWJERUSALEM.ORG","4024 GAULT PL NE",
"NEW LIFE WORLD ASSEMBLIES",,"3001 M ST SE",
"MICHIGAN PARK CHRISTIAN CHURCH","MICHIGANPARKCC.COM","1600 TAYLOR ST NE",
"KEDUS GABRIEL ETHIOPIAN ORTHDX",,"2601 EVARTS ST NE",
"JOSEPHITE PASTORAL CTR","JOSEPHITEPASTORALCENTER.ORG","1200 VARNUM ST NE",
"SOUTHEAST CHRISTIAN FELLOWSHIP","SECF3140.ORG","3140 Q ST SE",
"VICTORY DELIVERANCE TEMPLE","VICTORYDELIVERANCETEMPLE.COM","2224 16TH ST SE",
"MONASTERY OF THE HOLY CROSS",,"1302 QUINCY ST NE",
"RIGHTEOUS CHURCH OF GOD","RCGMINISTRIES.ORG","616 56TH ST NE",
"PERFECTION OF THE SAINTS",,"6041 DIX ST NE",
"DEBRE MEHERET ST MICHAEL'S",,"3010 EARL PL NE",
"POOR CLARES OF PERPETUAL ADRTN",,"3900 13TH ST NE",
"MIRACLE TEMPLENON","MIRACLETEMPLEMINISTRIES.ORG","5219 CALL PL SE",
"ASSUMPTION RC CHURCH","ASSUMPTIONDC.ORG","220 HIGHVIEW PL SE",
"LITTLE ROCK CHURCH OF CHRIST",,"5030 SHERIFF RD NE",
"RELIGIOUS THE SACRED HEART",,"821 VARNUM ST NE",
"CHURCH OF THE INCARNATION","INCARNATIONDC.ORG","880 EASTERN AVE NE",
"CHURCH OF OUR LORD JESUS CHRIST",,"420 56TH ST NE",
"LEADING COMMANDMENT CHURCH",,"5023 CENTRAL AVE SE",
"INTERNATIONAL HOUSE OF PRAYER",,"1915 RHODE ISLAND AVE NE",
