STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT11,WT03
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091008,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091015,-9999,-9999,0.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091016,-9999,-9999,0.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091019,-9999,-9999,2.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091020,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091022,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091023,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091026,-9999,-9999,0.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091027,-9999,-9999,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091028,-9999,-9999,1.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091029,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091030,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091102,-9999,-9999,0.69,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091103,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091104,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091105,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091106,-9999,-9999,0.03,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091107,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091109,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091110,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091111,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091112,-9999,-9999,1.50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1DCDC0011,WASHINGTON 4.0 WNW DC US,81.4,38.9303,-77.0831,20091113,-9999,-9999,0.00,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999
