OBJECTID,CJRTRACTBLOCK,CNT_CJRTRACTBLOCK,SHAPE_Length,SHAPE_Area
3079,5301 1005,1,698.64287,22193.555916
3080,5500 1006,1,235.695652,2592.178969
3081,5500 1007,1,466.926244,12433.924861
3082,5201 1003,1,616.345028,18603.304471
3083,5000 1006,1,247.392502,3029.605343
3084,4901 2001,1,332.674546,6518.137414
3085,5500 1005,1,70.230829,174.797466
3087,4100 3016,1,219.214178,3820.038312
3088,4901 1005,1,366.922937,8074.174634
3089,5000 1005,1,505.698948,15350.440497
3090,5000 1004,1,111.369047,524.611684
3091,4901 2003,1,569.626099,20025.36303
3092,4901 2004,1,533.041179,16317.707898
3094,5000 1003,1,540.646068,18013.224249
3095,5000 4002,1,568.169216,16617.274294
3096,5201 2001,1,504.749825,13964.49425
3097,4202 1012,1,298.11945,4677.925386
3098,5201 1002,1,614.849695,18525.873702
3099,4202 1014,2,568.939659,18449.079466
3100,4202 1013,1,470.882523,12588.529159
3101,5301 1003,1,505.944049,14046.054575
3102,5301 1004,1,621.556216,18011.973395
3103,4100 3014,1,393.152662,7030.939102
3104,5500 1004,1,448.940104,11839.312461
3105,5500 1003,1,478.030118,11810.368322
3106,4100 3015,2,616.582948,13705.240487
3107,5000 4001,1,568.983327,16603.261526
3108,4901 1004,1,514.046563,14394.772831
3109,5301 1002,1,505.360053,14081.451387
3110,4100 3013,1,421.93187,10540.372935
3111,4100 3012,1,709.115089,21387.309112
3112,4202 1011,1,421.297476,9711.100194
3113,4202 1010,1,473.883211,12885.921785
3114,5000 1000,1,336.958813,5336.430227
3115,5500 1002,1,418.739824,6629.504872
3117,4901 1001,1,506.476489,14597.768812
3118,5500 1001,1,515.575225,14597.615307
3119,4901 1003,1,509.64049,14911.492976
3120,4901 1002,1,518.101878,14426.510719
3121,5000 1002,1,586.947185,21169.06651
3122,5000 1001,1,472.148461,10435.667402
3123,5201 1001,1,554.294596,18528.19534
3124,5201 1000,1,554.765104,18541.489857
3125,5000 4000,1,569.210663,16655.903108
3126,5301 1001,1,625.965379,21191.793657
3127,5201 2000,1,670.12506,28039.425331
3128,5301 1000,1,506.529257,14026.271038
3129,4202 1008,1,469.226861,10225.667916
3130,4202 1009,1,579.673179,20668.436527
3131,4202 1001,1,468.801534,12364.191617
3132,4202 1000,1,537.223587,14549.434599
3133,4100 3009,1,177.121822,1671.900251
3134,4100 3002,1,820.536869,26994.534482
