OBJECTID,PERIMETER,TRACTS40_,TRACTS40_I,TRACTNO,NAME,WEB_URL,SHAPE_Length,SHAPE_Area
1,8793.887,2,0,16,16,http://planning.dc.gov,8793.887776,2738438.370214
2,10668.296,3,0,15,15,http://planning.dc.gov,10668.298957,4756043.77445
3,6614.946,4,0,17,17,http://planning.dc.gov,6614.946865,1549908.85029
4,6912.635,5,0,18,18,http://planning.dc.gov,6912.633901,2236043.754952
5,6374.911,6,0,14,14,http://planning.dc.gov,6374.912159,1691960.421619
6,11944.756,7,0,95,95,http://planning.dc.gov,11944.756036,6741708.873751
7,5106.46,8,0,19,19,http://planning.dc.gov,5106.460349,1679869.346329
8,5804.38,9,0,11,11,http://planning.dc.gov,5804.379974,1694474.636807
9,6454.539,10,0,20,20,http://planning.dc.gov,6454.537339,1766511.096293
10,10960.693,11,0,13,13,http://planning.dc.gov,10960.694834,4458634.13102
11,5278.976,12,0,21,21,http://planning.dc.gov,5278.975284,1327536.986188
12,8311.628,13,0,10,10,http://planning.dc.gov,8311.626912,3375758.196935
13,4878.051,14,0,12,12,http://planning.dc.gov,4878.052073,1217499.752005
14,7457.738,15,0,26,26,http://planning.dc.gov,7457.73737,1954379.682067
15,4651.843,16,0,22,22,http://planning.dc.gov,4651.841573,1114919.60579
16,9772.396,17,0,9,9,http://planning.dc.gov,9772.400244,5157295.361784
17,4448.317,18,0,25,25,http://planning.dc.gov,4448.317747,1148044.160713
18,6615.459,19,0,23,23,http://planning.dc.gov,6615.457994,2638658.195252
19,5522.804,20,0,94,94,http://planning.dc.gov,5522.802703,1608416.551432
20,3266.016,21,0,24,24,http://planning.dc.gov,3266.01485,556314.678384
21,5202.279,22,0,6,6,http://planning.dc.gov,5202.280154,1442693.503663
22,10478.243,23,0,8,8,http://planning.dc.gov,10478.244864,5441868.572296
23,4423.177,24,0,27,27,http://planning.dc.gov,4423.17527,872548.949256
24,3085.658,25,0,28,28,http://planning.dc.gov,3085.658587,401164.707082
25,2989.703,26,0,32,32,http://planning.dc.gov,2989.70207,442206.139209
26,2350.483,27,0,29,29,http://planning.dc.gov,2350.483715,302092.365191
27,2574.126,28,0,31,31,http://planning.dc.gov,2574.12752,294768.082012
28,9744.366,29,0,91,91,http://planning.dc.gov,9744.366603,3137861.433523
29,5211.136,30,0,93,93,http://planning.dc.gov,5211.135717,1501102.269655
30,6527.241,31,0,5,5,http://planning.dc.gov,6527.23971,1584995.769275
31,5270.039,32,0,92,92,http://planning.dc.gov,5270.038343,1534595.143902
32,3913.398,33,0,7,7,http://planning.dc.gov,3913.396493,855060.754723
33,5892.96,34,0,4,4,http://planning.dc.gov,5892.958487,1521333.541575
34,1853.634,35,0,30,30,http://planning.dc.gov,1853.635003,209651.900304
35,8680.521,36,0,90,90,http://planning.dc.gov,8680.522018,3362322.500391
36,3362.826,37,0,39,39,http://planning.dc.gov,3362.826111,401557.180051
37,4773.365,38,0,34,34,http://planning.dc.gov,4773.366299,1079833.336524
38,2982.448,39,0,35,35,http://planning.dc.gov,2982.447283,381840.813382
39,2298.63,40,0,36,36,http://planning.dc.gov,2298.631227,305501.317101
40,2319.096,41,0,37,37,http://planning.dc.gov,2319.096608,292956.07381
41,4201.686,42,0,33,33,http://planning.dc.gov,4201.68513,638230.160066
42,2708.281,43,0,38,38,http://planning.dc.gov,2708.281181,355807.824496
43,2854.258,44,0,40,40,http://planning.dc.gov,2854.257549,469388.451295
44,4053.556,45,0,3,3,http://planning.dc.gov,4053.555525,1068607.54094
45,4128.354,46,0,87,87,http://planning.dc.gov,4128.354859,890399.583237
46,3748.153,47,0,41,41,http://planning.dc.gov,3748.152529,796371.423132
47,2162.463,48,0,45,45,http://planning.dc.gov,2162.464062,218785.871015
48,2263.777,49,0,44,44,http://planning.dc.gov,2263.778459,302918.224643
49,2045.428,50,0,43,43,http://planning.dc.gov,2045.426693,236627.02819
50,2934.74,51,0,42,42,http://planning.dc.gov,2934.73749,412897.740392
51,9199.748,52,0,1,1,http://planning.dc.gov,9199.746643,2465551.654477
52,12978.904,53,0,78,78,http://planning.dc.gov,12978.903663,9214351.922516
53,6107.96,54,0,2,2,http://planning.dc.gov,6107.960328,1735278.972951
54,6699.486,55,0,88,88,http://planning.dc.gov,6699.48764,2394489.152152
55,9354.718,56,0,89,89,http://planning.dc.gov,9354.718366,3615524.645197
56,3599.708,57,0,48,48,http://planning.dc.gov,3599.706968,605290.777948
57,2890.671,58,0,46,46,http://planning.dc.gov,2890.671439,437178.480213
58,3781.648,59,0,55,55,http://planning.dc.gov,3781.648667,626504.616483
59,3736.521,60,0,53,53,http://planning.dc.gov,3736.521604,575805.40632
60,3790.54,61,0,52,52,http://planning.dc.gov,3790.540051,526412.42588
61,2959.369,62,0,50,50,http://planning.dc.gov,2959.368654,438225.296224
62,3276.71,63,0,49,49,http://planning.dc.gov,3276.709482,535711.087603
63,3839.349,64,0,86,86,http://planning.dc.gov,3839.349115,644675.537252
64,3889.977,65,0,54,54,http://planning.dc.gov,3889.979239,639775.498199
65,3085.374,66,0,85,85,http://planning.dc.gov,3085.372728,552013.058317
66,3638.142,67,0,47,47,http://planning.dc.gov,3638.142164,645716.830622
67,2758.581,68,0,51,51,http://planning.dc.gov,2758.581647,393377.833017
68,4715.072,69,0,56,56,http://planning.dc.gov,4715.072732,1120400.702121
69,3104.424,70,0,84,84,http://planning.dc.gov,3104.423792,488464.64609
70,5062.108,71,0,58,58,http://planning.dc.gov,5062.107992,1573715.756011
71,5487.59,72,0,57,57,http://planning.dc.gov,5487.589663,1688856.43883
72,4072.23,73,0,59,59,http://planning.dc.gov,4072.231015,962296.729839
73,3319.091,74,0,83,83,http://planning.dc.gov,3319.091814,602452.269685
74,4685.091,75,0,80,80,http://planning.dc.gov,4685.088935,841363.260085
75,5622.499,76,0,79,79,http://planning.dc.gov,5622.498012,1475066.504054
76,3747.05,77,0,82,82,http://planning.dc.gov,3747.049899,660671.068134
77,2331.497,78,0,81,81,http://planning.dc.gov,2331.49593,292254.356191
78,3075.105,79,0,67,67,http://planning.dc.gov,3075.103593,466641.965786
79,3806.933,80,0,65,65,http://planning.dc.gov,3806.931016,652677.105757
80,2447.148,81,0,66,66,http://planning.dc.gov,2447.147942,321386.993957
81,5453.163,82,0,68,68,http://planning.dc.gov,5453.163287,1754464.443837
82,13514.158,83,0,77,77,http://planning.dc.gov,13514.157611,8985983.97067
83,4420.943,84,0,60,60,http://planning.dc.gov,4420.943926,1087258.875133
84,3682.808,85,0,61,61,http://planning.dc.gov,3682.807418,552893.428315
85,16388.42,86,0,62,62,http://planning.dc.gov,16388.420076,9087540.53751
86,2989.545,87,0,69,69,http://planning.dc.gov,2989.54657,414953.355248
87,3382.974,88,0,70,70,http://planning.dc.gov,3382.972081,515928.685974
88,3914.354,89,0,71,71,http://planning.dc.gov,3914.356687,742840.885575
89,6535.535,90,0,72,72,http://planning.dc.gov,6535.534573,1744783.816436
90,9807.235,91,0,76,76,http://planning.dc.gov,9807.234432,4306199.131681
91,4301.595,92,0,64,64,http://planning.dc.gov,4301.59652,773537.474491
