OBJECTID,TRACTS80_,TRACTS80_I,TRACTNO,WEB_URL,NAME,SHAPE_Length,SHAPE_Area
1,164,0,76.3,http://planning.dc.gov,76.3,5001.997599,1234125.80027
2,165,0,74.7,http://planning.dc.gov,74.7,4807.93818,618213.025858
3,166,0,75.2,http://planning.dc.gov,75.2,4921.847932,643410.416968
4,167,0,98.9,http://planning.dc.gov,98.9,5585.698113,1517888.426711
5,168,0,74.6,http://planning.dc.gov,74.6,2596.339187,366868.534012
6,169,0,74.8,http://planning.dc.gov,74.8,3788.88251,375983.837538
7,170,0,74.4,http://planning.dc.gov,74.4,4958.708221,809483.98215
8,171,0,73.2,http://planning.dc.gov,73.2,5501.063681,1153691.981426
9,172,0,74.5,http://planning.dc.gov,74.5,3680.004655,740040.781185
10,173,0,73.4,http://planning.dc.gov,73.4,5486.937772,1246443.521718
11,174,0,98.4,http://planning.dc.gov,98.4,3749.01495,524174.573281
12,175,0,98.3,http://planning.dc.gov,98.3,3196.98369,534756.476075
13,176,0,98.7,http://planning.dc.gov,98.7,5010.620878,1044272.888282
14,177,0,97,http://planning.dc.gov,97,3387.316797,409294.215964
15,178,0,98.1,http://planning.dc.gov,98.1,3209.619643,438974.571429
16,179,0,98.2,http://planning.dc.gov,98.2,2124.277245,200719.210763
17,180,0,98.5,http://planning.dc.gov,98.5,2657.497919,314093.683335
18,181,0,98.6,http://planning.dc.gov,98.6,3669.461145,571933.129665
19,182,0,98.8,http://planning.dc.gov,98.8,3151.110125,529919.996283
20,183,0,73.8,http://planning.dc.gov,73.8,10616.758686,4692329.871455
21,2,0,16,http://planning.dc.gov,16,8793.825056,2738446.150762
22,3,0,15,http://planning.dc.gov,15,10668.396047,4756056.933272
23,4,0,17,http://planning.dc.gov,17,6547.572357,1548864.76198
24,5,0,18.1,http://planning.dc.gov,18.1,2753.820838,479089.206468
25,6,0,18.3,http://planning.dc.gov,18.3,4651.950841,1155253.932076
26,7,0,18.4,http://planning.dc.gov,18.4,3404.83016,601701.24578
27,8,0,14,http://planning.dc.gov,14,6357.727842,1689112.895543
28,9,0,95.5,http://planning.dc.gov,95.5,4597.006605,1044197.088786
29,10,0,19.2,http://planning.dc.gov,19.2,3995.756505,879547.022741
30,11,0,19.1,http://planning.dc.gov,19.1,3676.508615,771525.307803
31,12,0,11,http://planning.dc.gov,11,5925.819302,1697720.880589
32,13,0,20.1,http://planning.dc.gov,20.1,4722.291675,998647.347655
33,14,0,13.1,http://planning.dc.gov,13.1,8664.262019,2878229.896233
34,15,0,95.7,http://planning.dc.gov,95.7,2502.456169,300630.508987
35,16,0,20.2,http://planning.dc.gov,20.2,4375.222446,848802.339674
36,17,0,21.1,http://planning.dc.gov,21.1,3146.973728,598648.004749
37,18,0,10.1,http://planning.dc.gov,10.1,6508.901728,2481275.013613
38,19,0,21.2,http://planning.dc.gov,21.2,3547.757622,725853.062687
39,20,0,95.8,http://planning.dc.gov,95.8,4853.457601,881360.155394
40,21,0,12,http://planning.dc.gov,12,4866.192825,1214747.306346
41,22,0,95.3,http://planning.dc.gov,95.3,5471.401049,1434439.080371
42,23,0,95.1,http://planning.dc.gov,95.1,6333.507248,1641664.422752
43,24,0,95.2,http://planning.dc.gov,95.2,5665.451744,1663220.751769
44,25,0,22.2,http://planning.dc.gov,22.2,3461.985708,721660.189043
45,26,0,22.1,http://planning.dc.gov,22.1,2575.688418,415113.706349
46,27,0,26,http://planning.dc.gov,26,6890.822339,1808800.538027
47,28,0,9.1,http://planning.dc.gov,9.1,7071.903948,3004313.820347
48,29,0,13.2,http://planning.dc.gov,13.2,5999.893872,1601866.477731
49,30,0,25.1,http://planning.dc.gov,25.1,3102.727193,543560.487593
50,31,0,23.1,http://planning.dc.gov,23.1,2986.706472,386367.680922
51,32,0,94,http://planning.dc.gov,94,5523.74822,1608421.270388
52,33,0,24,http://planning.dc.gov,24,3266.01485,556314.678384
53,34,0,10.2,http://planning.dc.gov,10.2,3952.617294,889704.05318
54,35,0,23.2,http://planning.dc.gov,23.2,6178.597055,2046279.014875
