OBJECTID,TRACTS80_,TRACTS80_I,TRACTNO,WEB_URL,NAME,SHAPE_Length,SHAPE_Area
55,36,0,6,http://planning.dc.gov,6,5211.505323,1444340.360327
56,37,0,25.2,http://planning.dc.gov,25.2,3240.26333,604483.67312
57,38,0,9.2,http://planning.dc.gov,9.2,8485.914157,2157922.901122
58,39,0,27.1,http://planning.dc.gov,27.1,3379.247985,451407.482577
59,40,0,8.1,http://planning.dc.gov,8.1,8340.097311,3200235.840403
60,41,0,28,http://planning.dc.gov,28,3085.658587,401164.707082
61,42,0,32,http://planning.dc.gov,32,2989.70207,442206.139209
62,43,0,29,http://planning.dc.gov,29,2350.483715,302092.365191
63,44,0,31,http://planning.dc.gov,31,2574.12752,294768.082012
64,45,0,91.1,http://planning.dc.gov,91.1,5447.568256,1338006.741293
65,46,0,93.1,http://planning.dc.gov,93.1,4607.097405,1106099.487137
66,47,0,7.1,http://planning.dc.gov,7.1,3550.229475,584502.821925
67,48,0,92.1,http://planning.dc.gov,92.1,3291.903498,637231.504317
68,49,0,27.2,http://planning.dc.gov,27.2,3409.170108,488106.431598
69,50,0,5.1,http://planning.dc.gov,5.1,5375.470027,894650.425476
70,51,0,5.2,http://planning.dc.gov,5.2,4315.904309,609714.865512
71,52,0,4,http://planning.dc.gov,4,5831.924895,1605148.743374
72,53,0,30,http://planning.dc.gov,30,1853.635003,209651.900304
73,54,0,90.2,http://planning.dc.gov,90.2,7425.542386,1759146.130447
74,55,0,90.1,http://planning.dc.gov,90.1,5470.963758,1460307.49101
75,56,0,39,http://planning.dc.gov,39,3298.868617,399242.095561
76,57,0,34,http://planning.dc.gov,34,4741.423882,1073097.340827
77,58,0,93.2,http://planning.dc.gov,93.2,2756.238807,394993.661018
78,59,0,91.2,http://planning.dc.gov,91.2,6433.122103,1802573.553438
79,60,0,35,http://planning.dc.gov,35,2982.447283,381840.813382
80,61,0,92.2,http://planning.dc.gov,92.2,4151.25309,897374.663178
81,62,0,36,http://planning.dc.gov,36,2298.631227,305501.317101
82,63,0,37,http://planning.dc.gov,37,2319.096608,292956.07381
83,64,0,33.1,http://planning.dc.gov,33.1,3304.040977,439619.629199
84,65,0,38,http://planning.dc.gov,38,2708.281181,355807.824496
85,66,0,7.2,http://planning.dc.gov,7.2,2793.089043,305157.578099
86,67,0,40,http://planning.dc.gov,40,2854.264227,469367.175926
87,68,0,3,http://planning.dc.gov,3,4041.174234,1052327.126179
88,69,0,87.2,http://planning.dc.gov,87.2,3708.662494,505946.789044
89,70,0,41,http://planning.dc.gov,41,3787.907059,800703.914413
90,71,0,45,http://planning.dc.gov,45,2162.464062,218785.871015
91,72,0,44,http://planning.dc.gov,44,2263.778459,302918.224643
92,73,0,43,http://planning.dc.gov,43,2045.426693,236627.02819
93,74,0,42.1,http://planning.dc.gov,42.1,1842.819852,204500.393808
94,75,0,87.1,http://planning.dc.gov,87.1,2699.926056,384452.181462
95,76,0,1,http://planning.dc.gov,1,8595.921084,2327126.27117
96,77,0,96.1,http://planning.dc.gov,96.1,6662.749344,2080921.106401
97,78,0,2,http://planning.dc.gov,2,6015.271714,1729392.342649
98,79,0,89.5,http://planning.dc.gov,89.5,9465.251518,2976983.618141
99,80,0,88.3,http://planning.dc.gov,88.3,5275.716968,1155035.262073
100,81,0,88.4,http://planning.dc.gov,88.4,3901.248527,786616.418456
101,82,0,33.2,http://planning.dc.gov,33.2,1890.913999,198610.530867
102,83,0,42.2,http://planning.dc.gov,42.2,2102.832762,208397.346584
103,84,0,8.2,http://planning.dc.gov,8.2,5891.65202,2221588.944854
104,85,0,48.1,http://planning.dc.gov,48.1,2449.251379,317191.812579
105,86,0,46,http://planning.dc.gov,46,2890.671439,437178.480213
106,87,0,55.1,http://planning.dc.gov,55.1,3059.627066,338487.992836
107,88,0,53.1,http://planning.dc.gov,53.1,2338.927047,286545.614758
108,89,0,52.1,http://planning.dc.gov,52.1,2669.500359,339590.945708
109,90,0,50,http://planning.dc.gov,50,2959.368654,438225.296224
110,91,0,49.1,http://planning.dc.gov,49.1,2113.059406,271850.289437
111,92,0,86,http://planning.dc.gov,86,4008.636339,707185.371427
112,93,0,78.5,http://planning.dc.gov,78.5,4563.217888,1235445.810431
113,94,0,53.2,http://planning.dc.gov,53.2,2697.892777,290672.601075
114,95,0,54.1,http://planning.dc.gov,54.1,2524.325011,298526.367364
115,96,0,54.2,http://planning.dc.gov,54.2,2840.981637,302096.006484
116,97,0,49.2,http://planning.dc.gov,49.2,2052.276161,263860.798166
117,98,0,48.2,http://planning.dc.gov,48.2,2192.294035,288098.965369
118,99,0,96.2,http://planning.dc.gov,96.2,4588.600793,1358178.386095
119,100,0,85,http://planning.dc.gov,85,3072.191556,529402.198083
120,101,0,88.2,http://planning.dc.gov,88.2,2848.61869,471751.212353
121,102,0,47,http://planning.dc.gov,47,3638.142164,645716.830622
122,103,0,89.3,http://planning.dc.gov,89.3,2988.952415,303248.106197
123,104,0,55.2,http://planning.dc.gov,55.2,2444.688119,294681.723174
124,105,0,52.2,http://planning.dc.gov,52.2,2033.788117,185408.670658
125,106,0,51,http://planning.dc.gov,51,2758.581647,393377.833017
126,107,0,89.4,http://planning.dc.gov,89.4,3121.579591,456524.544341
127,108,0,56,http://planning.dc.gov,56,3958.231501,610494.960261
128,109,0,78.7,http://planning.dc.gov,78.7,3299.890108,522607.301769
129,110,0,84.1,http://planning.dc.gov,84.1,2326.181283,220122.373146
130,111,0,58,http://planning.dc.gov,58,4132.837583,915750.919655
131,112,0,57.1,http://planning.dc.gov,57.1,2716.856424,394949.118156
132,113,0,78.3,http://planning.dc.gov,78.3,4446.960133,1050404.892383
133,114,0,59,http://planning.dc.gov,59,3377.48597,643809.849618
134,115,0,57.2,http://planning.dc.gov,57.2,2261.27536,266720.59672
135,116,0,62.2,http://planning.dc.gov,62.2,26052.834617,11542911.771789
136,117,0,83.1,http://planning.dc.gov,83.1,2368.826849,303941.413994
137,118,0,83.2,http://planning.dc.gov,83.2,2372.886186,260870.628609
138,119,0,84.2,http://planning.dc.gov,84.2,2657.295208,268342.272944
139,120,0,80.1,http://planning.dc.gov,80.1,2400.535041,325481.440082
140,121,0,79.1,http://planning.dc.gov,79.1,2551.272892,398264.479643
141,122,0,78.4,http://planning.dc.gov,78.4,3957.881106,810818.771262
142,123,0,79.3,http://planning.dc.gov,79.3,2170.889007,242592.090906
143,124,0,68.4,http://planning.dc.gov,68.4,6740.729865,2034659.284496
144,125,0,81,http://planning.dc.gov,81,2331.49593,292254.356191
145,126,0,78.8,http://planning.dc.gov,78.8,4364.665122,974727.021731
146,127,0,96.4,http://planning.dc.gov,96.4,3099.083979,539776.167145
147,128,0,96.3,http://planning.dc.gov,96.3,3929.449395,641575.708848
148,129,0,82,http://planning.dc.gov,82,3038.261419,340698.08275
149,130,0,80.2,http://planning.dc.gov,80.2,3883.56445,578090.604217
150,131,0,66,http://planning.dc.gov,66,2681.215971,297980.091779
151,132,0,77.8,http://planning.dc.gov,77.8,4426.097166,860661.3164
152,133,0,67,http://planning.dc.gov,67,3020.582194,428274.180314
153,134,0,68.1,http://planning.dc.gov,68.1,2063.047293,244517.667274
154,135,0,77.3,http://planning.dc.gov,77.3,4509.703797,1011242.328561
155,136,0,99.6,http://planning.dc.gov,99.6,2139.259616,247941.317321
156,137,0,99.3,http://planning.dc.gov,99.3,3235.529125,378339.232735
157,138,0,99.4,http://planning.dc.gov,99.4,2988.003311,424800.793908
158,139,0,99.5,http://planning.dc.gov,99.5,2914.973259,433837.550112
159,140,0,65,http://planning.dc.gov,65,3404.427412,496993.954069
160,141,0,61,http://planning.dc.gov,61,3185.429694,458344.975287
161,142,0,60.1,http://planning.dc.gov,60.1,3704.520632,649964.298172
162,143,0,62.1,http://planning.dc.gov,62.1,4168.370008,863512.848775
163,144,0,69,http://planning.dc.gov,69,2860.304224,410264.799488
164,145,0,68.2,http://planning.dc.gov,68.2,2548.021552,282681.127426
165,146,0,99.7,http://planning.dc.gov,99.7,3177.024303,466900.766351
166,147,0,70,http://planning.dc.gov,70,2948.057261,436530.814428
167,148,0,99.1,http://planning.dc.gov,99.1,5935.488854,2101888.898884
168,149,0,71,http://planning.dc.gov,71,3914.356687,742840.905013
169,150,0,77.9,http://planning.dc.gov,77.9,4485.682273,912977.905544
170,151,0,77.7,http://planning.dc.gov,77.7,4462.47392,847660.252759
171,152,0,72,http://planning.dc.gov,72,6479.678335,1760607.762871
172,153,0,99.2,http://planning.dc.gov,99.2,5346.776832,1299632.710158
173,154,0,60.2,http://planning.dc.gov,60.2,1691.387435,167187.120081
174,155,0,76.1,http://planning.dc.gov,76.1,4765.757016,1262394.199152
175,156,0,63.1,http://planning.dc.gov,63.1,2653.275712,368859.926563
176,157,0,64,http://planning.dc.gov,64,4570.141416,835209.142627
177,158,0,76.4,http://planning.dc.gov,76.4,5311.670458,1367407.369685
178,159,0,63.2,http://planning.dc.gov,63.2,4235.520898,671330.904494
179,160,0,74.1,http://planning.dc.gov,74.1,6325.975722,1428162.254623
180,161,0,73.1,http://planning.dc.gov,73.1,17225.999432,9674556.311857
181,162,0,76.5,http://planning.dc.gov,76.5,3672.891097,453751.681605
182,163,0,75.1,http://planning.dc.gov,75.1,4771.154488,1266250.252681
