X,Y,OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQMILES,ORIG_FID
-77.076239786451637,38.914704628568408,14,0003003,3007,110010003003007,110010003003007,12878,0,24,24,24,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,14,12,2,3.1819691,0.00497183,2
-77.076502128547091,38.913363546466954,15,0003003,3008,110010003003008,110010003003008,4085,386,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1.10466352,0.00172604,3
-77.074855112192438,38.913517659885422,16,0003003,3009,110010003003009,110010003003009,24772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12067237,0.00956355,4
-77.074922496463103,38.914882076759056,17,0003003,3010,110010003003010,110010003003010,12377,0,108,107,94,0,1,12,0,0,1,0,0,0,2,93,0,1,11,0,0,1,0,0,0,98,84,0,1,12,0,0,1,0,0,0,2,83,0,1,11,0,0,1,0,0,0,37,35,2,3.05817294,0.0047784,5
-77.073501843738356,38.914920447557179,18,0003003,3011,110010003003011,110010003003011,12376,0,130,128,117,6,0,5,0,0,1,1,1,0,10,107,6,0,5,0,0,1,1,1,0,123,110,6,0,5,0,0,1,1,1,0,9,101,6,0,5,0,0,1,1,1,0,41,38,3,3.05778627,0.00477779,6
-77.073462505710239,38.914018025282772,19,0003003,3012,110010003003012,110010003003012,12345,0,121,111,97,4,0,7,0,3,4,0,6,0,17,83,4,0,7,0,0,4,0,6,0,120,96,4,0,7,0,3,4,0,6,0,17,82,4,0,7,0,0,4,0,6,0,37,35,2,3.05024017,0.004766,7
-77.073417815043257,38.913079236155717,20,0003003,3013,110010003003013,110010003003013,13379,0,118,116,105,2,0,7,0,2,0,0,2,0,11,97,1,0,7,0,0,0,0,2,0,110,97,2,0,7,0,2,0,0,2,0,7,93,1,0,7,0,0,0,0,2,0,38,34,4,3.30562977,0.00516505,8
-77.073626703728053,38.921551372151313,21,0003004,4000,110010003004000,110010003004000,21954,0,138,136,129,4,1,0,0,2,0,0,2,0,10,121,4,0,0,0,1,0,0,2,0,120,111,4,1,0,0,2,0,0,2,0,9,104,4,0,0,0,1,0,0,2,0,54,51,3,5.4244414,0.00847569,9
-77.075777719131594,38.922137162120748,22,0003004,4001,110010003004001,110010003004001,20186,0,218,212,199,4,0,9,0,0,1,1,3,0,9,191,4,0,9,0,0,1,1,3,0,184,168,4,0,9,0,0,0,1,1,0,5,164,4,0,9,0,0,0,1,1,0,74,73,1,4.98746776,0.00779292,10
-77.077484297849026,38.921624019238273,23,0003004,4002,110010003004002,110010003004002,15484,0,172,167,164,0,0,1,0,2,1,0,1,0,9,160,0,0,1,0,0,1,0,1,0,153,145,0,0,1,0,2,1,0,1,0,9,141,0,0,1,0,0,1,0,1,0,63,60,3,3.82569278,0.00597764,11
-77.075345665362406,38.921208910362459,24,0003004,4003,110010003004003,110010003004003,8460,0,105,104,102,0,0,2,0,0,0,0,1,0,2,100,0,0,2,0,0,0,0,1,0,88,85,0,0,2,0,0,0,0,1,0,2,83,0,0,2,0,0,0,0,1,0,38,38,0,2.09037171,0.00326621,12
-77.074431061191333,38.921227059358991,25,0003004,4004,110010003004004,110010003004004,10272,0,97,93,75,1,0,16,0,1,0,0,3,2,6,71,1,0,16,0,0,0,0,3,2,84,66,1,0,13,0,1,0,0,2,2,5,63,1,0,13,0,0,0,0,2,2,43,41,2,2.53812549,0.00396582,13
-77.073656953951371,38.919742488441372,26,0003004,4005,110010003004005,110010003004005,17732,0,166,166,159,2,0,4,0,1,0,0,0,0,8,152,2,0,4,0,0,0,0,0,0,141,135,2,0,3,0,1,0,0,0,0,6,130,2,0,3,0,0,0,0,0,0,67,65,2,4.38135973,0.00684587,14
-77.074622713214964,38.919934220449342,27,0003004,4006,110010003004006,110010003004006,12145,0,141,135,128,0,0,7,0,0,0,0,3,3,2,126,0,0,7,0,0,0,0,3,3,117,108,0,0,7,0,0,0,0,1,1,2,106,0,0,7,0,0,0,0,1,1,55,54,1,3.00091662,0.00468893,15
-77.075506120463245,38.919823441670211,28,0003004,4007,110010003004007,110010003004007,14498,0,137,137,123,3,0,6,0,5,0,0,0,0,11,117,3,0,6,0,0,0,0,0,0,109,100,1,0,5,0,3,0,0,0,0,7,96,1,0,5,0,0,0,0,0,0,51,48,3,3.58217228,0.00559714,16
-77.076398675459487,38.921171456918792,29,0003004,4008,110010003004008,110010003004008,12912,0,120,117,113,2,1,1,0,0,0,0,3,0,3,110,2,1,1,0,0,0,0,3,0,101,95,2,0,1,0,0,0,0,3,0,3,92,2,0,1,0,0,0,0,3,0,50,47,3,3.19024003,0.00498475,17
-77.076545329690035,38.919936774425899,30,0003004,4009,110010003004009,110010003004009,14807,0,137,133,120,2,0,11,0,0,1,1,3,0,4,116,2,0,11,0,0,1,1,3,0,116,101,2,0,11,0,0,1,1,1,0,4,97,2,0,11,0,0,1,1,1,0,52,51,1,3.65842123,0.00571628,18
-77.077484578835978,38.919935153780258,31,0003004,4010,110010003004010,110010003004010,12491,0,135,131,123,1,0,5,0,2,2,1,2,0,5,120,1,0,5,0,0,2,1,2,0,120,111,1,0,3,0,2,2,1,1,0,4,109,1,0,3,0,0,2,1,1,0,54,54,0,3.08621082,0.0048222,19
-77.074161909792537,38.918968941174079,32,0003004,4011,110010003004011,110010003004011,2824,0,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0.69782876,0.00109036,20
-77.069649675242161,38.929631041071346,33,0004001,1000,110010004001000,110010004001000,255797,0,6,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,63.20230746,0.09875361,21
-77.071907375601896,38.92761853123325,34,0004001,1001,110010004001001,110010004001001,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09947747,0.00015543,22
